anchor_type,d_src,d_dst,d_aligned,residual_m,a,b
weld,5232.97404,5200.1166,5229.263088049605,3.7109519503947013,1.0004704050591884,26.700326892595946
weld,5245.16604,5212.33908,5241.491317566032,3.6747224339678723,1.0004704050591884,26.700326892595946
weld,5257.333656000001,5224.613376,5253.771387456969,3.562268543031678,1.0004704050591884,26.700326892595946
weld,5269.525656000001,5236.90596,5266.069753950674,3.455902049327051,1.0004704050591884,26.700326892595946
weld,5281.711560000001,5240.520888000001,5269.686382431094,12.025177568906656,1.0004704050591884,26.700326892595946
weld,5293.909656000001,5252.782992,5281.954254586852,11.955401413149048,1.0004704050591884,26.700326892595946
weld,5306.104704,5265.005472,5294.1824841032785,11.9222198967218,1.0004704050591884,26.700326892595946
weld,5318.293656000001,5277.24624,5306.429010222475,11.864645777525766,1.0004704050591884,26.700326892595946
weld,5330.4612720000005,5289.477864,5318.666388040287,11.794883959713843,1.0004704050591884,26.700326892595946
weld,5342.62584,5301.682056000001,5330.876320953947,11.749519046053138,1.0004704050591884,26.700326892595946
weld,5345.6342159999995,5313.892344,5343.092352735195,2.541863264804306,1.0004704050591884,26.700326892595946
weld,5353.235928,5326.09044,5355.296186781266,-2.060258781266384,1.0004704050591884,26.700326892595946
weld,5362.763976,5338.285488,5367.496971393543,-4.732995393543206,1.0004704050591884,26.700326892595946
weld,5374.9407360000005,5350.523208,5379.740448078943,-4.799712078942321,1.0004704050591884,26.700326892595946
weld,5387.144928000001,5353.376136,5382.5947181107085,4.550209889292091,1.0004704050591884,26.700326892595946
weld,5399.312544,5361.1302479999995,5390.352477684222,8.960066315778022,1.0004704050591884,26.700326892595946
weld,5411.495400000001,5370.670488000001,5399.897205461385,11.598194538615644,1.0004704050591884,26.700326892595946
weld,5423.690447999999,5382.899064,5412.1315338454015,11.558914154597915,1.0004704050591884,26.700326892595946
weld,5435.9007360000005,5395.139832000001,5424.378059964598,11.522676035402583,1.0004704050591884,26.700326892595946
weld,5445.550704,5407.383648,5436.627635517587,8.923068482413328,1.0004704050591884,26.700326892595946
weld,5457.751848,5419.590888000001,5448.840617865043,8.911230134956895,1.0004704050591884,26.700326892595946
weld,5469.934704,5431.813368,5461.06884738147,8.865856618530415,1.0004704050591884,26.700326892595946
weld,5482.1449920000005,5444.044992,5473.3062251992815,8.838766800718986,1.0004704050591884,26.700326892595946
weld,5491.669992,5453.743728,5483.009523533764,8.660468466236125,1.0004704050591884,26.700326892595946
