pair,dst_id,confidence,score,dst_type,dst_clock_deg,dst_depth_pct,dst_length_mm,dst_width_mm,dst_distance_m_aligned
2022_to_2015,4840,0.3996887672329855,0.3996887672329855,gene,150.0,13.0,220.97999999999996,81.28,4357.22179171237
2022_to_2015,4467,0.39967609578797236,0.39967609578797236,gene,150.0,16.0,261.62,165.1,777.1063439204897
2022_to_2015,1092,0.39967214060732537,0.39967214060732537,corrosion,270.0,21.0,17.779999999999998,33.019999999999996,2447.380435272253
2022_to_2015,3642,0.3996523489899913,0.3996523489899913,gene,240.0,16.0,121.91999999999999,76.19999999999999,887.0343611287533
2022_to_2015,502,0.39965150376657643,0.39965150376657643,gene,180.0,18.0,45.72,48.26,2248.372817912466
2022_to_2015,970,0.3996405666736264,0.3996405666736264,gene,180.0,11.0,71.11999999999999,91.44,1479.0030514973903
2022_to_2015,1223,0.3996288916287366,0.3996288916287366,gene,150.0,26.0,248.92000000000002,160.01999999999998,10.263658360776219
2022_to_2015,1862,0.3996285636926611,0.3996285636926611,,270.0,,96.52,,2386.351432615252
2022_to_2015,1130,0.3995962232222837,0.3995962232222837,gene,180.0,11.0,86.36,40.64,652.3949037083564
2022_to_2015,3117,0.39959435093131596,0.39959435093131596,gene,30.0,12.0,55.88,33.019999999999996,2285.268198400757
2022_to_2015,1120,0.3995941429099188,0.3995941429099188,gene,300.0,12.0,165.1,40.64,814.0017244087805
2022_to_2015,618,0.3995884427415768,0.3995884427415768,,180.0,,251.46,,1332.6850699719087
2022_to_2015,1174,0.3995737153548871,0.3995737153548871,gene,60.0,10.0,134.61999999999998,40.64,2589.149671258083
2022_to_2015,3549,0.39953832169947784,0.39953832169947784,gene,120.0,37.0,66.03999999999999,73.66,1523.7323826373042
2022_to_2015,3636,0.3995292852336094,0.3995292852336094,gene,60.0,20.0,78.74,38.099999999999994,676.7812339626034
2022_to_2015,4639,0.39952201272023746,0.39952201272023746,gene,330.0,14.0,76.19999999999999,73.66,196.004101229911
2022_to_2015,4094,0.3995214079445941,0.3995214079445941,gene,120.0,21.0,33.019999999999996,45.72,3613.501895979223
2022_to_2015,233,0.3995186506152382,0.3995186506152382,axgr,330.0,19.0,50.8,20.32,109.70429001928568
2022_to_2015,759,0.39951722027451253,0.39951722027451253,,330.0,,441.9599999999999,,4034.260858397058
2022_to_2015,4760,0.3995128470196845,0.3995128470196845,gene,150.0,12.0,104.13999999999999,76.19999999999999,1733.4800936323818
2022_to_2015,4068,0.39950533162987756,0.39950533162987756,gene,90.0,20.0,160.01999999999998,55.88,2199.473803361204
2022_to_2015,791,0.39950448925621584,0.39950448925621584,gene,60.0,18.0,38.099999999999994,33.019999999999996,3036.063920528919
2022_to_2015,4828,0.3995036933164284,0.3995036933164284,gene,90.0,18.0,213.35999999999999,71.11999999999999,1790.7184750063393
2022_to_2015,5050,0.39950004110761317,0.39950004110761317,,330.0,,182.88,,4332.709107415355
2022_to_2015,1842,0.3994952744693592,0.3994952744693592,,240.0,,48.26,,79.88473592600968
2022_to_2015,2272,0.39949242888463565,0.39949242888463565,gene,210.0,20.0,152.39999999999998,139.7,862.5216768317384
2022_to_2015,3630,0.3994763825163277,0.3994763825163277,gene,120.0,15.0,104.13999999999999,71.11999999999999,300.37254055637715
2022_to_2015,2981,0.3994624497051279,0.3994624497051279,gene,270.0,15.0,586.74,124.46000000000001,172.75495736057707
2022_to_2015,54,0.3994170906650915,0.3994170906650915,axgr,330.0,12.0,60.959999999999994,25.4,136.2386390005907
2022_to_2015,3381,0.39941639163358983,0.39941639163358983,axgr,150.0,12.0,43.18,17.779999999999998,1442.486733137404
2022_to_2015,620,0.3993943270294294,0.3993943270294294,gene,240.0,10.0,568.9599999999999,96.52,1850.8629993639643
2022_to_2015,30,0.39939068292760327,0.39939068292760327,gene,240.0,12.0,78.74,78.74,1356.6923380978512
2022_to_2015,3485,0.3993734074972737,0.3993734074972737,corrosion,210.0,16.0,20.32,17.779999999999998,262.7190358114777
2022_to_2015,3486,0.3993618138650853,0.3993618138650853,corrosion,210.0,16.0,27.94,33.019999999999996,340.679480199407
2022_to_2015,1239,0.3993354076379165,0.3993354076379165,gene,210.0,12.0,111.76,60.959999999999994,228.22438213578135
2022_to_2015,3820,0.3993349045305378,0.3993349045305378,axgr,240.0,11.0,50.8,22.86,77.73671719895168
2022_to_2015,309,0.3993190777111604,0.3993190777111604,axgr,150.0,20.0,58.419999999999995,22.86,115.13751385831489
2022_to_2015,2280,0.39930650057067724,0.39930650057067724,gene,30.0,10.0,78.74,60.959999999999994,116.40105428599605
2022_to_2015,4520,0.3993047860017843,0.3993047860017843,gene,90.0,19.0,45.72,60.959999999999994,389.5784947506691
2022_to_2015,2502,0.3992728195765631,0.3992728195765631,axgr,180.0,18.0,81.28,27.94,3662.779972658789
2022_to_2015,4874,0.39926428530235625,0.39926428530235625,gene,300.0,10.0,104.13999999999999,50.8,579.3622669883837
