year,idx,anchor_type,event_raw,distance_m_std,clock_deg_std
2015,159,weld,girthweld,1320.33264,
2015,160,weld,girthweld,1332.530736,
2015,161,weld,girthweld,1344.71664,
2015,162,weld,girthweld,1356.920832,
2015,163,weld,girthweld,1369.112832,
2015,164,weld,girthweld,1381.3109279999999,
2015,165,weld,girthweld,1393.51512,
2015,166,weld,girthweld,1405.70712,
2015,167,weld,girthweld,1417.902168,
2015,168,weld,girthweld,1430.0484480000002,
2015,169,weld,girthweld,1442.26788,
2015,170,weld,girthweld,1454.487312,
2015,171,weld,girthweld,1466.679312,
2015,172,weld,girthweld,1478.8682640000002,
2015,173,weld,girthweld,1491.072456,
2015,174,weld,girthweld,1499.60076,
2015,175,weld,girthweld,1511.756184,
2015,176,weld,girthweld,1523.905512,
2015,177,weld,girthweld,1535.036808,
2015,178,weld,girthweld,1547.250144,
2015,179,weld,girthweld,1556.549592,
2015,180,weld,girthweld,1568.7598800000003,
2015,181,weld,girthweld,1580.994552,
2015,183,weld,girthweld,1592.817744,
2015,184,weld,girthweld,1605.040224,
2015,185,weld,girthweld,1617.2474640000003,
2015,186,weld,girthweld,1629.472992,
2015,187,weld,girthweld,1641.71376,
2015,188,weld,girthweld,1653.930144,
2015,189,weld,girthweld,1660.913112,
2015,190,weld,girthweld,1673.144736,
2015,191,weld,girthweld,1685.3580720000002,
2015,192,weld,girthweld,1692.3562800000002,
2015,193,weld,girthweld,1704.575712,
2015,194,weld,girthweld,1709.2422000000001,
2015,195,weld,girthweld,1721.4524880000001,
2015,196,weld,girthweld,1733.6627760000001,
2015,197,weld,girthweld,1745.870016,
2015,198,weld,girthweld,1753.931976,
2015,199,weld,girthweld,1766.123976,
2015,200,weld,girthweld,1778.331216,
2015,201,weld,girthweld,1790.53236,
2015,202,weld,girthweld,1802.751792,
2015,203,weld,girthweld,1814.968176,
2015,204,weld,girthweld,1827.16932,
2015,205,weld,girthweld,1839.3796080000002,
2015,206,weld,girthweld,1850.6358720000003,
2015,207,weld,girthweld,1862.8400640000002,
2015,208,weld,girthweld,1875.047304,
2015,209,weld,girthweld,1887.242352,
2015,210,weld,girthweld,1899.4465440000001,
2015,211,weld,girthweld,1911.6598800000002,
2015,212,weld,girthweld,1923.8274960000003,
2015,213,weld,girthweld,1936.0621680000002,
2015,214,weld,girthweld,1948.2876960000003,
2015,215,weld,girthweld,1954.1886240000001,
2015,216,weld,girthweld,1966.362336,
2015,217,weld,girthweld,1978.5573840000002,
2015,218,weld,girthweld,1990.737192,
2015,219,weld,girthweld,2002.93224,
2015,220,weld,girthweld,2015.121192,
2015,221,weld,girthweld,2027.2918560000003,
2015,222,weld,girthweld,2039.480808,
2015,223,weld,girthweld,2051.651472,
2015,224,weld,girthweld,2063.840424,
2015,225,weld,girthweld,2073.587928,
2015,226,weld,girthweld,2085.8073600000002,
2015,227,weld,girthweld,2092.104528,
2015,228,weld,girthweld,2104.2934800000003,
2015,229,weld,girthweld,2116.4854800000003,
2015,230,weld,girthweld,2128.6530960000005,
2015,231,weld,girthweld,2138.6718720000003,
2015,232,weld,girthweld,2150.86692,
2015,233,weld,girthweld,2163.068064,
2015,234,weld,girthweld,2175.2478720000004,
2015,235,weld,girthweld,2187.449016,
2015,236,weld,girthweld,2199.659304,
2015,237,weld,girthweld,2211.869592,
2015,238,weld,girthweld,2224.076832,
2015,239,tee,tap,2225.372232,0.0
