pair,dst_id,src_id,category,confidence,score,dist_diff_m,clock_diff_deg,dst_type,dst_clock_deg,dst_depth_pct,dst_length_mm,dst_width_mm,dst_distance_m_aligned,src_type,src_clock_deg,src_depth_pct,src_length_mm,src_width_mm,src_distance_m,years,depth_growth_per_year,length_growth_mm_per_year,width_growth_mm_per_year,risk_index,type_norm,flag_suspicious_negative,confidence_tier,distance_band,flag_sparse_band
2007_to_2015,3062,2041,matched,0.7421786267883941,0.7421786267883941,7.8400149543522275,0.0,,150.0,10.0,29.972,42.925999999999995,14144.676257045649,corrosion,150.0,10.0,23.114,22.098,14152.516272,8.0,0.0,0.8572499999999996,2.6034999999999995,0.069215,corrosion,False,Medium,14000,False
2007_to_2015,3181,2095,matched,0.7398087892451413,0.7398087892451413,11.20170403307202,0.0,,120.0,18.0,11.938,32.004,14481.556711966929,corrosion,120.0,15.0,23.114,36.068,14492.758416,8.0,0.375,-1.3970000000000002,-0.508,0.045,corrosion,False,Medium,14000,False
2007_to_2015,2134,1797,matched,0.7364941845888614,0.7364941845888614,9.844680779176995,0.0,,90.0,11.0,14.986,29.972,12691.807632779177,corrosion,90.0,11.0,36.068,23.114,12681.962952,8.0,0.0,-2.63525,0.8572499999999996,0.0171449999999999,corrosion,False,Medium,12000,False
2007_to_2015,1703,1513,matched,0.7331299777337654,0.7331299777337654,1.995258349837968,0.0,,300.0,19.0,12.954,38.099999999999994,10378.645397650163,corrosion,300.0,11.0,18.034,17.018,10380.640656,8.0,1.0,-0.635,2.635249999999999,0.1727049999999999,corrosion,False,Medium,10000,False
2007_to_2015,1294,1287,matched,0.732276888945856,0.732276888945856,17.43516664530398,0.0,,150.0,15.0,45.974,26.924,8947.022393354697,corrosion,150.0,13.0,35.05199999999999,26.924,8964.45756,8.0,0.25,1.3652500000000003,0.0,0.057305,corrosion,False,Medium,8000,False
2007_to_2015,687,843,matched,0.7313890795039786,0.7313890795039786,11.525095186008002,0.0,,120.0,11.0,17.018,36.068,5021.2392311860085,corrosion,120.0,10.0,23.876,17.018,5009.7141360000005,8.0,0.125,-0.8572499999999996,2.3812499999999996,0.062625,corrosion,False,Medium,5000,False
2007_to_2015,1684,1498,matched,0.7307369680803272,0.7307369680803272,16.76263696987735,0.0,,0.0,15.0,16.002,26.924,10335.269812969878,corrosion,0.0,12.0,18.034,18.034,10318.507176,8.0,0.375,-0.254,1.11125,0.067225,corrosion,False,Medium,10000,False
2007_to_2015,3161,2088,matched,0.7276261727942359,0.7276261727942359,20.429185202161538,0.0,,120.0,10.0,12.954,26.924,14459.905513202162,corrosion,120.0,11.0,10.922,18.034,14439.476328,8.0,-0.125,0.254,1.11125,0.027305,corrosion,False,Medium,14000,False
2007_to_2015,2292,1836,matched,0.7271899764368555,0.7271899764368555,19.3427588361792,0.0,,270.0,13.0,8.128,14.986,12743.63938283618,corrosion,270.0,11.0,18.034,13.97,12724.296624,8.0,0.25,-1.23825,0.1269999999999997,0.0325399999999999,corrosion,False,Medium,12000,False
2007_to_2015,695,853,matched,0.7240846654335564,0.7240846654335564,9.545250462416334,0.0,,180.0,12.0,25.908,42.925999999999995,5068.484586462417,corrosion,180.0,12.0,40.894,20.066,5058.939336,8.0,0.0,-1.87325,2.8574999999999995,0.0571499999999999,corrosion,False,Medium,5000,False
2007_to_2015,2098,1785,matched,0.7159153057011691,0.7159153057011691,22.554760362061643,0.0,,210.0,21.0,16.002,27.94,12685.293976362062,corrosion,210.0,23.0,23.876,33.019999999999996,12662.739216,8.0,-0.25,-0.9842499999999998,-0.6349999999999993,0.0,corrosion,False,Medium,12000,False
2007_to_2015,1985,1710,matched,0.7155369151705314,0.7155369151705314,7.6236568110507505,0.0,,120.0,15.0,38.099999999999994,70.10399999999998,12107.43567918895,corrosion,120.0,11.0,36.068,34.036,12115.059336,8.0,0.5,0.2539999999999995,4.508499999999998,0.1552499999999999,corrosion,False,Medium,12000,False
2007_to_2015,581,779,matched,0.7123784469454285,0.7123784469454285,23.139082395464357,0.0,,240.0,17.0,20.066,25.908,4617.386434395465,corrosion,240.0,14.0,19.049999999999997,14.986,4594.247352,8.0,0.375,0.1270000000000002,1.36525,0.074845,corrosion,False,Medium,4000,False
2007_to_2015,2942,2021,matched,0.7118819206222988,0.7118819206222988,1.4802797666379774,0.0,,150.0,17.0,56.896,28.955999999999996,14080.19532776664,cluster,150.0,15.0,65.024,243.586,14078.715048000002,8.0,0.25,-1.016,-26.82875,0.03,cluster,False,Medium,14000,False
2007_to_2015,2104,1792,matched,0.7045845218982659,0.7045845218982659,8.006804288150306,0.0,,210.0,11.0,11.938,18.034,12685.601972288152,corrosion,210.0,10.0,76.96199999999999,14.986,12677.595168000002,8.0,0.125,-8.127999999999998,0.381,0.02262,corrosion,False,Medium,12000,False
2007_to_2015,3065,2042,matched,0.7045660871968966,0.7045660871968966,4.858717301163779,30.0,,240.0,12.0,14.986,24.892,14158.959949301165,corrosion,210.0,14.0,14.986,18.034,14154.101232,8.0,-0.25,0.0,0.8572500000000001,0.017145,corrosion,False,Medium,14000,False
2007_to_2015,591,783,matched,0.7040730444278078,0.7040730444278078,23.98760833957203,0.0,,270.0,15.0,21.081999999999997,30.987999999999996,4619.847352339572,corrosion,270.0,11.0,18.034,20.066,4595.859744,8.0,0.5,0.3809999999999998,1.3652499999999996,0.094925,corrosion,False,Medium,4000,False
2007_to_2015,1026,1070,matched,0.7039777581654282,0.7039777581654282,28.555340687964417,0.0,,210.0,10.0,16.002,23.876,7047.910364687965,corrosion,210.0,12.0,11.938,18.034,7019.355024,8.0,-0.25,0.508,0.7302499999999998,0.0247649999999999,corrosion,False,Medium,7000,False
2007_to_2015,3019,2031,matched,0.7030998526629206,0.7030998526629206,27.955555251404803,0.0,,270.0,21.0,17.018,30.987999999999996,14131.688587251405,corrosion,270.0,21.0,25.908,23.114,14103.733032,8.0,0.0,-1.1112499999999996,0.9842499999999994,0.0196849999999999,corrosion,False,Medium,14000,False
2007_to_2015,2110,1795,matched,0.7017395578614157,0.7017395578614157,4.120665801969153,30.0,,120.0,14.0,29.972,30.987999999999996,12685.73004980197,corrosion,90.0,13.0,38.862,35.05199999999999,12681.609384,8.0,0.125,-1.1112500000000003,-0.5079999999999996,0.015,corrosion,False,Medium,12000,False
2007_to_2015,626,796,matched,0.7005658669633213,0.7005658669633213,1.3467998887545036,0.0,,120.0,10.0,20.066,56.896,4657.374063888755,corrosion,120.0,10.0,53.08599999999999,18.034,4656.027264,8.0,0.0,-4.1274999999999995,4.85775,0.097155,corrosion,False,Medium,4000,False
2007_to_2015,2941,2026,matched,0.70055069295451,0.70055069295451,0.7364901420587557,30.0,,120.0,15.0,21.081999999999997,26.924,14080.03370614206,corrosion,90.0,15.0,22.098,49.022,14079.297216,8.0,0.0,-0.1270000000000002,-2.76225,0.0,corrosion,False,Medium,14000,False
2007_to_2015,2283,1834,uncertain,0.6990039931901028,0.6990039931901028,28.622502553711456,0.0,,60.0,11.0,26.924,76.96199999999999,12740.690550553712,corrosion,60.0,10.0,33.019999999999996,86.868,12712.068048,,,,,,corrosion,False,Medium,12000,False
2007_to_2015,2412,1844,uncertain,0.6982909889061294,0.6982909889061294,4.751879160201497,0.0,,240.0,17.0,53.848,55.372,12755.9195768398,cluster,240.0,11.0,52.06999999999999,249.428,12760.671456000002,,,,,,cluster,False,Medium,12000,False
2007_to_2015,2979,2025,uncertain,0.6976850280387463,0.6976850280387463,6.570114485470185,30.0,,210.0,14.0,21.081999999999997,35.05199999999999,14085.864282485472,corrosion,240.0,11.0,19.049999999999997,30.987999999999996,14079.294168000002,,,,,,corrosion,False,Medium,14000,False
2007_to_2015,659,812,uncertain,0.6949676567768522,0.6949676567768522,35.59712870868043,0.0,,270.0,21.0,8.889999999999999,17.018,4739.776696708681,corrosion,270.0,20.0,12.954,18.034,4704.1795680000005,,,,,,corrosion,False,Medium,4000,False
2007_to_2015,2664,1930,uncertain,0.6946436123748446,0.6946436123748446,6.5676453594333,0.0,,120.0,23.0,66.548,28.194000000000003,13458.793725359434,cluster,120.0,26.0,74.93,234.188,13452.22608,,,,,,cluster,False,Medium,13000,False
2007_to_2015,1951,1695,uncertain,0.6946157163102553,0.6946157163102553,14.727106383654244,0.0,,150.0,10.0,50.038,28.955999999999996,12034.275973616346,corrosion,150.0,15.0,29.972,45.974,12049.00308,,,,,,corrosion,False,Medium,12000,False
2007_to_2015,477,719,uncertain,0.693835363618082,0.693835363618082,34.3507386432193,0.0,,300.0,14.0,11.938,23.876,4251.62145064322,corrosion,300.0,14.0,21.081999999999997,22.098,4217.2707120000005,,,,,,corrosion,False,Medium,4000,False
2007_to_2015,525,756,uncertain,0.6912811354830489,0.6912811354830489,30.375574193856664,0.0,,30.0,27.0,13.97,33.019999999999996,4580.433022193857,corrosion,30.0,26.0,23.114,23.876,4550.0574480000005,,,,,,corrosion,False,Medium,4000,False
2007_to_2015,389,638,uncertain,0.6910930145791769,0.6910930145791769,32.51811953280867,0.0,,90.0,15.0,9.906,16.002,3399.6223835328087,corrosion,90.0,12.0,16.002,19.049999999999997,3367.104264,,,,,,corrosion,False,Medium,3000,False
2007_to_2015,3018,2033,uncertain,0.6908287017623096,0.6908287017623096,8.954236839133955,0.0,,270.0,24.0,12.954,32.004,14131.508668839131,corrosion,270.0,24.0,116.078,18.034,14122.554432,,,,,,corrosion,False,Medium,14000,False
2007_to_2015,1552,1477,uncertain,0.6900300055990457,0.6900300055990457,6.205747900357892,0.0,,330.0,33.0,20.066,35.05199999999999,10198.44948409964,corrosion,330.0,13.0,19.049999999999997,16.002,10204.655232,,,,,,corrosion,False,Medium,10000,False
2007_to_2015,2825,1981,uncertain,0.6898608464198259,0.6898608464198259,3.762182592565296,30.0,,180.0,13.0,10.922,18.034,13763.087601407437,corrosion,150.0,21.0,11.938,13.97,13766.849784000002,,,,,,corrosion,False,Medium,13000,False
2007_to_2015,1305,1294,uncertain,0.6892917463950231,0.6892917463950231,31.990595101866347,0.0,,180.0,15.0,8.889999999999999,32.004,9009.222323101869,corrosion,180.0,15.0,13.97,18.034,8977.231728,,,,,,corrosion,False,Medium,9000,False
2007_to_2015,1682,1500,uncertain,0.6887055966587756,0.6887055966587756,3.9214012529591855,30.0,,300.0,23.0,17.018,45.974,10335.24541725296,corrosion,330.0,16.0,18.034,38.862,10331.324016,,,,,,corrosion,False,Medium,10000,False
2007_to_2015,1644,1493,uncertain,0.6884153000765701,0.6884153000765701,36.65726247128623,0.0,,0.0,14.0,22.098,30.987999999999996,10251.412585528717,corrosion,0.0,13.0,26.924,27.94,10288.069848,,,,,,corrosion,False,Medium,10000,False
2007_to_2015,1813,1567,uncertain,0.6879911239013832,0.6879911239013832,30.907328536981368,0.0,,180.0,14.0,22.098,16.002,10942.26574453698,corrosion,180.0,18.0,11.938,18.034,10911.358416,,,,,,corrosion,False,Medium,10000,False
2007_to_2015,2767,1968,uncertain,0.6874887147932816,0.6874887147932816,31.456731952519476,0.0,,270.0,14.0,16.002,23.876,13673.36320404748,corrosion,270.0,17.0,26.924,26.924,13704.819936,,,,,,corrosion,False,Medium,13000,False
2007_to_2015,2164,1789,uncertain,0.6847739650582907,0.6847739650582907,29.914763103141013,0.0,,210.0,17.0,42.672,53.848,12702.422819103142,cluster,210.0,19.0,56.13399999999999,45.72,12672.508056,,,,,,cluster,False,Medium,12000,False
2007_to_2015,1543,1472,uncertain,0.6842381596119709,0.6842381596119709,18.304690145510904,0.0,,120.0,17.0,20.066,24.892,10163.740477854491,corrosion,120.0,15.0,52.06999999999999,38.099999999999994,10182.045168000002,,,,,,corrosion,False,Medium,10000,False
2007_to_2015,2524,1901,uncertain,0.68079507342129,0.68079507342129,12.181847467016269,0.0,,120.0,11.0,30.987999999999996,35.05199999999999,13325.077751467015,cluster,120.0,16.0,33.528,191.516,13312.895904,,,,,,cluster,False,Medium,13000,False
2007_to_2015,2151,1799,uncertain,0.6803742402230561,0.6803742402230561,15.81565991635398,30.0,,30.0,12.0,46.99,32.004,12698.043787916356,cluster,60.0,13.0,42.925999999999995,30.479999999999997,12682.228128,,,,,,cluster,False,Medium,12000,False
2007_to_2015,2556,1908,uncertain,0.6800751406487703,0.6800751406487703,0.5408222567111807,30.0,,240.0,15.0,53.08599999999999,48.00599999999999,13387.87842574329,corrosion,210.0,15.0,58.92799999999999,14.986,13388.419248000002,,,,,,corrosion,False,Medium,13000,False
2007_to_2015,654,807,uncertain,0.679951146306475,0.679951146306475,35.299320135071866,0.0,,150.0,19.0,17.018,28.955999999999996,4716.256176135072,corrosion,150.0,16.0,27.94,29.972,4680.956856,,,,,,corrosion,False,Medium,4000,False
2007_to_2015,2541,1921,uncertain,0.6791911542152238,0.6791911542152238,38.7393171692911,0.0,,150.0,13.0,18.034,25.908,13366.843218830709,corrosion,150.0,11.0,22.098,29.972,13405.582536,,,,,,corrosion,False,Medium,13000,False
2007_to_2015,697,854,uncertain,0.6790533901443071,0.6790533901443071,11.377978695884847,0.0,,120.0,12.0,29.972,40.894,5070.317314695885,corrosion,120.0,10.0,42.925999999999995,208.026,5058.939336,,,,,,corrosion,False,Medium,5000,False
2007_to_2015,1212,1211,uncertain,0.6790070382893808,0.6790070382893808,21.175360641482257,0.0,,150.0,13.0,30.987999999999996,54.102,8347.278088641482,corrosion,150.0,16.0,23.114,21.081999999999997,8326.102728,,,,,,corrosion,False,Medium,8000,False
2007_to_2015,1405,1387,uncertain,0.6784734664148677,0.6784734664148677,9.83745009442464,0.0,,150.0,13.0,46.99,23.114,9617.749085905576,corrosion,150.0,16.0,33.019999999999996,91.948,9627.586536,,,,,,corrosion,False,Medium,9000,False
2007_to_2015,448,698,uncertain,0.6783306837225349,0.6783306837225349,33.96199360404944,0.0,,90.0,12.0,14.986,34.036,4038.7627216040496,corrosion,90.0,11.0,24.892,44.958,4004.800728,,,,,,corrosion,False,Medium,4000,False
2007_to_2015,1044,1071,uncertain,0.677752130865436,0.677752130865436,39.7869509254615,0.0,,90.0,12.0,9.906,17.018,7060.041134925463,corrosion,90.0,10.0,16.002,18.034,7020.254184000001,,,,,,corrosion,False,Medium,7000,False
2007_to_2015,3474,2295,uncertain,0.677725539094815,0.677725539094815,36.45492283944441,0.0,,120.0,12.0,40.132,61.97599999999999,16248.193898839449,corrosion,120.0,12.0,43.942,46.99,16211.738976000002,,,,,,corrosion,False,Medium,16000,False
2007_to_2015,2721,1956,uncertain,0.6773478457088352,0.6773478457088352,36.42255785918678,0.0,,120.0,14.0,13.97,23.114,13661.357461859188,corrosion,120.0,10.0,23.114,23.114,13624.934904000002,,,,,,corrosion,False,Medium,13000,False
2007_to_2015,678,832,uncertain,0.6767315728543213,0.6767315728543213,35.871660179629544,0.0,,210.0,13.0,8.889999999999999,16.002,4917.91117217963,corrosion,210.0,10.0,20.066,18.034,4882.039512,,,,,,corrosion,False,Medium,4000,False
2007_to_2015,2766,1965,uncertain,0.67579336801997,0.67579336801997,17.91448699251123,0.0,,240.0,18.0,21.081999999999997,53.08599999999999,13673.32356100749,corrosion,240.0,17.0,25.908,216.91599999999997,13691.238048,,,,,,corrosion,False,Medium,13000,False
2007_to_2015,2978,2024,uncertain,0.6757307649002783,0.6757307649002783,6.5609631623956375,0.0,,180.0,22.0,18.034,26.924,14085.849035162397,cluster,180.0,12.0,23.114,187.706,14079.288072,,,,,,cluster,False,Medium,14000,False
2007_to_2015,2733,1952,uncertain,0.6756946308260515,0.6756946308260515,39.7765134402307,0.0,,120.0,12.0,29.972,38.099999999999994,13663.763489440233,corrosion,120.0,13.0,30.987999999999996,27.94,13623.986976000002,,,,,,corrosion,False,Medium,13000,False
2007_to_2015,2171,1812,uncertain,0.6750501301135383,0.6750501301135383,9.256201207423146,30.0,,240.0,29.0,21.081999999999997,27.94,12704.051233207423,corrosion,270.0,24.0,23.876,18.034,12694.795032,,,,,,corrosion,False,Medium,12000,False
2007_to_2015,611,782,uncertain,0.6742076686303506,0.6742076686303506,34.95312426361852,0.0,,270.0,27.0,11.938,23.876,4630.066108263619,corrosion,270.0,22.0,18.034,18.034,4595.112984,,,,,,corrosion,False,Medium,4000,False
2007_to_2015,3208,2104,uncertain,0.6741677424189431,0.6741677424189431,8.90509659289637,0.0,,150.0,19.0,34.036,87.884,14549.584168592895,corrosion,150.0,10.0,29.972,23.876,14540.679072,,,,,,corrosion,False,Medium,14000,False
2007_to_2015,1151,1160,uncertain,0.6724924149124881,0.6724924149124881,41.99334440781695,0.0,,60.0,11.0,8.889999999999999,22.098,7928.726872407818,corrosion,60.0,12.0,13.97,18.034,7886.733528000001,,,,,,corrosion,False,Medium,7000,False
2007_to_2015,2568,1926,uncertain,0.6711156266425171,0.6711156266425171,13.612640009056122,0.0,,210.0,16.0,14.986,26.924,13441.975928009057,corrosion,210.0,13.0,128.016,14.986,13428.363288,,,,,,corrosion,False,Medium,13000,False
2007_to_2015,1391,1355,uncertain,0.6699188030417678,0.6699188030417678,45.859448859337135,0.0,,120.0,15.0,8.128,16.002,9498.826064859337,corrosion,120.0,15.0,11.938,18.034,9452.966616,,,,,,corrosion,False,Medium,9000,False
2007_to_2015,365,629,uncertain,0.6690690110833448,0.6690690110833448,18.49812084374571,0.0,,150.0,10.0,41.91,56.13399999999999,3256.1237271562545,cluster,150.0,23.0,66.03999999999999,60.706,3274.621848,,,,,,cluster,False,Medium,3000,False
2007_to_2015,590,780,uncertain,0.6682996193608145,0.6682996193608145,24.64264273969457,0.0,,270.0,17.0,48.00599999999999,35.05199999999999,4619.252706739695,corrosion,270.0,18.0,18.034,18.034,4594.610064,,,,,,corrosion,False,Medium,4000,False
2007_to_2015,2254,1819,uncertain,0.6679491053431567,0.6679491053431567,39.41908549631626,0.0,,270.0,18.0,71.11999999999999,72.39,12735.524757496316,cluster,270.0,21.0,75.946,64.51599999999999,12696.105672,,,,,,cluster,False,Medium,12000,False
2007_to_2015,2751,1957,uncertain,0.6678344907857328,0.6678344907857328,46.78806595535025,0.0,,90.0,10.0,13.97,22.098,13672.50935395535,corrosion,90.0,11.0,11.938,21.081999999999997,13625.721288,,,,,,corrosion,False,Medium,13000,False
2007_to_2015,3141,2079,uncertain,0.6670358590258845,0.6670358590258845,15.610552865293355,30.0,,60.0,13.0,26.924,37.084,14422.360504865292,corrosion,30.0,12.0,23.876,50.038,14406.749952,,,,,,corrosion,False,Medium,14000,False
2007_to_2015,2180,1809,uncertain,0.6668535795561482,0.6668535795561482,22.142907666444444,0.0,,270.0,30.0,48.767999999999994,83.05799999999999,12716.249091666446,cluster,270.0,16.0,52.324,100.076,12694.106184000002,,,,,,cluster,False,Medium,12000,False
2007_to_2015,1550,1474,uncertain,0.6664609320126444,0.6664609320126444,1.0471504952583928,0.0,,210.0,16.0,22.098,77.978,10188.633257504742,cluster,210.0,21.0,57.657999999999994,271.78,10189.680408,,,,,,cluster,False,Medium,10000,False
2007_to_2015,1553,1479,uncertain,0.6659944434572284,0.6659944434572284,5.861083703539407,30.0,,0.0,15.0,52.06999999999999,53.08599999999999,10198.94959629646,cluster,330.0,13.0,85.598,53.34,10204.81068,,,,,,cluster,False,Medium,10000,False
2007_to_2015,345,618,uncertain,0.6656008533390677,0.6656008533390677,10.172679997849627,0.0,,120.0,10.0,23.876,59.944,3233.4723039978494,cluster,120.0,17.0,161.29,72.898,3223.299624,,,,,,cluster,False,Medium,3000,False
2007_to_2015,1712,1517,uncertain,0.665400104855148,0.665400104855148,10.207960679319513,0.0,,90.0,14.0,48.00599999999999,17.018,10394.78926332068,cluster,90.0,19.0,66.03999999999999,378.206,10404.997224,,,,,,cluster,False,Medium,10000,False
2007_to_2015,972,1038,uncertain,0.6653539370683803,0.6653539370683803,15.499273599357366,0.0,,180.0,14.0,48.00599999999999,51.053999999999995,6746.550073599357,cluster,180.0,16.0,62.992,279.90799999999996,6731.0508,,,,,,cluster,False,Medium,6000,False
2007_to_2015,1353,1318,uncertain,0.6647850583083689,0.6647850583083689,44.88360313436169,0.0,,120.0,11.0,35.05199999999999,29.972,9269.350803134364,corrosion,120.0,10.0,26.924,28.955999999999996,9224.4672,,,,,,corrosion,False,Medium,9000,False
2007_to_2015,997,1056,uncertain,0.6639252707564298,0.6639252707564298,39.65802346633882,0.0,,60.0,10.0,12.954,21.081999999999997,6943.911423466339,corrosion,60.0,13.0,21.081999999999997,13.97,6904.2534000000005,,,,,,corrosion,False,Medium,6000,False
2007_to_2015,2132,1798,uncertain,0.6628940818278335,0.6628940818278335,9.783719314562404,0.0,,30.0,12.0,14.986,72.136,12691.804583314562,cluster,30.0,25.0,91.948,71.374,12682.020864,,,,,,cluster,False,Medium,12000,False
2007_to_2015,2155,1822,uncertain,0.660285936206854,0.660285936206854,0.7617739224297111,30.0,,30.0,14.0,23.114,69.08800000000001,12698.43106992243,cluster,60.0,15.0,200.152,69.85,12697.669296,,,,,,cluster,False,Medium,12000,False
2007_to_2015,1235,1233,uncertain,0.658834076404903,0.658834076404903,43.4522213481614,0.0,,300.0,18.0,20.066,37.084,8561.027261348161,corrosion,300.0,20.0,26.924,29.972,8517.57504,,,,,,corrosion,False,Medium,8000,False
2007_to_2015,929,1012,uncertain,0.6587209556271115,0.6587209556271115,39.0026416398332,0.0,,300.0,19.0,21.081999999999997,35.05199999999999,6550.317025639834,corrosion,300.0,13.0,33.019999999999996,36.068,6511.314384000001,,,,,,corrosion,False,Medium,6000,False
2007_to_2015,3168,2089,uncertain,0.6581816170136148,0.6581816170136148,23.923893619894443,0.0,,120.0,17.0,14.986,177.03799999999998,14463.445941619895,corrosion,120.0,14.0,16.002,18.034,14439.522048,,,,,,corrosion,False,Medium,14000,False
2007_to_2015,1557,1478,uncertain,0.6578358040965453,0.6578358040965453,4.5955734637955175,0.0,,0.0,18.0,64.26199999999999,193.802,10200.178530536206,cluster,0.0,26.0,91.694,83.566,10204.774104000002,,,,,,cluster,False,Medium,10000,False
2007_to_2015,1783,1538,uncertain,0.65779799745214,0.65779799745214,48.011750955447496,0.0,,300.0,18.0,10.922,17.018,10673.739038955448,corrosion,300.0,17.0,18.034,18.034,10625.727288,,,,,,corrosion,False,Medium,10000,False
2007_to_2015,1685,1503,uncertain,0.6576752850642842,0.6576752850642842,12.409768100893416,0.0,,120.0,15.0,17.018,33.019999999999996,10335.275911899109,corrosion,120.0,13.0,72.136,59.944,10347.68568,,,,,,corrosion,False,Medium,10000,False
2007_to_2015,3166,2082,uncertain,0.6572269488371765,0.6572269488371765,46.59489418605881,0.0,,0.0,12.0,14.986,27.94,14463.39715018606,corrosion,0.0,14.0,18.034,22.098,14416.802256,,,,,,corrosion,False,Medium,14000,False
2007_to_2015,545,777,uncertain,0.6561365034315386,0.6561365034315386,2.6988112131730304,0.0,,150.0,14.0,56.896,18.034,4591.203731213173,cluster,150.0,15.0,130.55599999999998,135.128,4588.50492,,,,,,cluster,False,Medium,4000,False
2007_to_2015,2729,1955,uncertain,0.6546986126105344,0.6546986126105344,38.67302027104961,0.0,,210.0,13.0,13.97,26.924,13663.519532271052,corrosion,210.0,10.0,33.019999999999996,32.004,13624.846512000002,,,,,,corrosion,False,Medium,13000,False
2007_to_2015,1937,1672,uncertain,0.6546141252153941,0.6546141252153941,42.38770304422724,0.0,,180.0,13.0,21.081999999999997,42.925999999999995,11973.698359044229,corrosion,180.0,10.0,24.892,29.972,11931.310656,,,,,,corrosion,False,Medium,11000,False
2007_to_2015,2123,1793,uncertain,0.6541581431662609,0.6541581431662609,8.427696312652188,0.0,,180.0,26.0,22.86,83.05799999999999,12686.160024312652,cluster,180.0,16.0,94.234,100.584,12677.732328,,,,,,cluster,False,Medium,12000,False
2007_to_2015,692,847,uncertain,0.6538454231814749,0.6538454231814749,14.313966306946895,0.0,,180.0,36.0,19.049999999999997,49.022,5046.5223423069465,corrosion,180.0,10.0,45.974,53.08599999999999,5032.208376,,,,,,corrosion,False,Medium,5000,False
2007_to_2015,3112,2061,uncertain,0.6534319500018547,0.6534319500018547,12.564018749304523,0.0,,330.0,12.0,52.06999999999999,48.00599999999999,14298.488202749306,corrosion,330.0,12.0,86.868,115.062,14285.924184,,,,,,corrosion,False,Medium,14000,False
2007_to_2015,998,1061,uncertain,0.6531286832036591,0.6531286832036591,0.0767437986278309,0.0,,150.0,14.0,8.889999999999999,17.018,6944.012055798627,cluster,150.0,18.0,82.80399999999999,141.986,6943.935312,,,,,,cluster,False,Medium,6000,False
