pair,dst_id,src_id,category,confidence,score,dist_diff_m,clock_diff_deg,dst_type,dst_clock_deg,dst_depth_pct,dst_length_mm,dst_width_mm,dst_distance_m_aligned,src_type,src_clock_deg,src_depth_pct,src_length_mm,src_width_mm,src_distance_m,years,depth_growth_per_year,length_growth_mm_per_year,width_growth_mm_per_year,risk_index,type_norm,flag_suspicious_negative,confidence_tier,distance_band,flag_sparse_band
2007_to_2015,562,778,matched,0.7919309374343124,0.7919309374343124,0.2518984621328854,0.0,,90.0,13.0,25.908,26.924,4592.518050462133,corrosion,90.0,12.0,27.94,25.908,4592.266152,8.0,0.125,-0.2540000000000004,0.1270000000000002,0.01754,corrosion,False,High,4000,False
2007_to_2015,2137,1817,matched,0.7790559579013737,0.7790559579013737,3.917015786984848,0.0,,270.0,11.0,18.034,32.004,12691.856424213016,corrosion,270.0,11.0,25.908,32.004,12695.77344,8.0,0.0,-0.9842499999999998,0.0,0.0,corrosion,False,High,12000,False
2007_to_2015,2144,1808,matched,0.7782085054290868,0.7782085054290868,3.766810464092486,0.0,,300.0,14.0,16.002,25.908,12697.824226464092,corrosion,300.0,16.0,16.002,22.098,12694.057416,8.0,-0.25,0.0,0.4762499999999998,0.0095249999999999,corrosion,False,High,12000,False
2007_to_2015,3047,2036,matched,0.7764922592468688,0.7764922592468688,1.9774027824241784,0.0,,210.0,11.0,23.876,38.099999999999994,14137.933890782424,corrosion,210.0,12.0,23.876,26.924,14135.956488,8.0,-0.125,0.0,1.3969999999999994,0.0279399999999999,corrosion,False,High,14000,False
2007_to_2015,2308,1841,matched,0.7730033122319349,0.7730033122319349,7.20275791302447,0.0,,240.0,11.0,8.128,14.986,12744.020565913024,corrosion,240.0,11.0,10.922,18.034,12736.817808,8.0,0.0,-0.3492499999999998,-0.381,0.0,corrosion,False,High,12000,False
2007_to_2015,2197,1837,matched,0.7692255979099663,0.7692255979099663,4.702400783762641,0.0,,270.0,12.0,19.049999999999997,25.908,12729.252008783764,corrosion,270.0,13.0,23.114,33.019999999999996,12724.549608,8.0,-0.125,-0.5080000000000005,-0.8889999999999998,0.0,corrosion,False,High,12000,False
2007_to_2015,2146,1811,matched,0.7646237753040149,0.7646237753040149,3.2730842609944375,0.0,,300.0,13.0,19.049999999999997,33.019999999999996,12697.927908260994,corrosion,300.0,15.0,19.049999999999997,18.034,12694.654824,8.0,-0.25,0.0,1.8732499999999996,0.0374649999999999,corrosion,False,High,12000,False
2007_to_2015,2143,1816,matched,0.7585234208752154,0.7585234208752154,2.1117171717942256,0.0,,270.0,11.0,46.99,38.862,12697.763237171795,cluster,270.0,12.0,52.832,57.40399999999999,12695.65152,8.0,-0.125,-0.7302499999999998,-2.3177499999999984,0.0,cluster,False,High,12000,False
2007_to_2015,2281,1840,matched,0.7547641947735798,0.7547641947735798,4.049426959907578,0.0,,120.0,13.0,40.894,18.034,12740.483186959907,corrosion,120.0,11.0,20.066,18.034,12736.43376,8.0,0.25,2.6035,0.0,0.08207,corrosion,False,High,12000,False
2007_to_2015,2973,2022,matched,0.7450919981951262,0.7450919981951262,4.267500676827694,0.0,,120.0,17.0,36.068,112.014,14083.00388467683,cluster,120.0,14.0,55.117999999999995,118.11,14078.736384000002,8.0,0.375,-2.3812499999999996,-0.7620000000000005,0.045,cluster,False,Medium,14000,False
