dst_id,src_id,years,depth_growth_per_year,length_growth_mm_per_year,width_growth_mm_per_year,depth_dst_pct,depth_src_pct,len_dst_mm,len_src_mm,wid_dst_mm,wid_src_mm,distance_aligned_dst_m,distance_src_m,dist_diff_m,score,category,risk_index
3858,623,7,3.857142857142857,2.939142857142857,0.3628571428571427,41.0,14.0,35.559999999999995,14.985999999999999,35.559999999999995,33.019999999999996,4603.864883195738,4604.391096,0.5262128042622862,0.7011114325219674,matched,0.5288971428571428
2395,523,7,0.42857142857142855,21.154571428571426,0.43542857142857117,14.0,11.0,165.1,17.018,33.019999999999996,29.971999999999998,4551.554309489737,4544.3942640000005,7.160045489736149,0.700175878694037,matched,0.4832285714285714
682,303,7,2.4285714285714284,1.3425714285714285,-0.1451428571428579,47.0,30.0,25.4,16.002,33.019999999999996,34.036,2881.406572180742,2883.036144,1.6295718192582171,0.7251024751486448,matched,0.31827999999999995
1560,530,7,1.8571428571428572,-0.32657142857142774,3.3019999999999996,32.0,19.0,45.72,48.00599999999999,38.099999999999994,14.985999999999999,4553.702328216795,4559.835432,6.133103783205115,0.7064450565781197,matched,0.28889714285714285
2989,403,7,0.14285714285714285,11.212285714285715,1.0160000000000002,11.0,10.0,91.44,12.953999999999999,43.18,36.068,3539.2057188315684,3540.51108,1.305361168431773,0.7170363702175153,matched,0.26170857142857146
3362,532,7,0.2857142857142857,10.885714285714284,-1.524000000000001,12.0,10.0,109.21999999999998,33.019999999999996,76.19999999999999,86.868,4561.536278868418,4560.060984000001,1.4752948684172225,0.7085085470175541,matched,0.252
2820,365,7,1.5714285714285714,1.6328571428571428,-0.03628571428571296,21.0,10.0,53.339999999999996,41.91,55.88,56.13399999999999,3235.829662145315,3227.658264,8.171398145314924,0.7259642716124937,matched,0.2212285714285714
2506,482,7,1.5714285714285714,1.4151428571428573,0.14514285714285688,23.0,12.0,22.86,12.953999999999999,33.019999999999996,32.004,4273.069999228804,4267.815696000001,5.25430322880311,0.7347591913898585,matched,0.21977714285714284
2130,568,7,1.5714285714285714,0.10885714285714394,0.10885714285714292,38.0,27.0,55.88,55.117999999999995,96.52,95.758,4543.7203588381135,4563.98376,20.263401161886577,0.7072655969016357,matched,0.19292571428571428
1585,552,7,1.4285714285714286,-0.7257142857142854,0.07257142857142895,25.0,15.0,33.019999999999996,38.099999999999994,35.559999999999995,35.05199999999999,4574.424391230767,4562.423184,12.00120723076634,0.7272127807179565,matched,0.17287999999999998
4057,558,7,1.4285714285714286,-0.21771428571428583,-1.0522857142857143,21.0,11.0,35.559999999999995,37.083999999999996,68.58,75.946,4549.911706933751,4562.892576,12.980869066249397,0.7201976824900017,matched,0.1714285714285714
742,553,7,0.8571428571428571,2.503714285714285,0.9071428571428574,16.0,10.0,58.419999999999995,40.894,48.26,41.91,4546.247439693476,4562.499384000001,16.25194430652482,0.7048268151826006,matched,0.1710742857142857
2528,468,7,0.7142857142857143,2.721428571428571,0.2902857142857148,21.0,16.0,33.019999999999996,13.97,27.94,25.907999999999998,4156.950633924901,4159.2246000000005,2.2739660750994517,0.7491600904664015,matched,0.14594857142857143
3689,302,7,-0.5714285714285714,6.458857142857141,0.6894285714285715,13.0,17.0,76.19999999999999,30.987999999999996,50.8,45.974,2885.0708394210174,2882.8563120000003,2.21452742101701,0.714043926877288,matched,0.14296571428571428
4831,562,7,0.8571428571428571,0.2902857142857148,1.5965714285714279,19.0,13.0,27.94,25.907999999999998,38.099999999999994,26.924,4542.456818410433,4563.410736,20.953917589567027,0.7065122197611546,matched,0.1405942857142857
663,551,7,0.0,4.571999999999998,2.1045714285714285,19.0,19.0,66.03999999999999,34.036,50.8,36.068,4564.442421852085,4562.4079440000005,2.0344778520848195,0.7322600590611072,matched,0.13353142857142852
3131,477,7,0.5714285714285714,1.5602857142857143,1.306285714285714,18.0,14.0,22.86,11.937999999999999,33.019999999999996,23.875999999999998,4219.49588509512,4222.677864,3.1819789048804523,0.7514267229203189,matched,0.12590285714285712
894,593,7,0.5714285714285714,2.1408571428571435,-0.03628571428571498,27.0,23.0,55.88,40.894,73.66,73.914,4570.254707819418,4593.174456,22.919748180581337,0.7052273381851164,matched,0.11138857142857143
2131,586,7,0.5714285714285714,0.43542857142857166,1.560285714285715,27.0,23.0,43.18,40.132,55.88,44.958,4569.875645691114,4588.968216,19.092570308886025,0.7171264791763039,matched,0.10848571428571428
3137,573,7,0.0,4.0277142857142865,1.0159999999999998,15.0,15.0,43.18,14.985999999999999,33.019999999999996,25.907999999999998,4571.897310375403,4576.821936,4.924625624596956,0.7397929983344081,matched,0.10087428571428575
859,561,7,0.14285714285714285,1.6691428571428577,2.394857142857142,23.0,22.0,40.64,28.955999999999996,50.8,34.036,4558.251073756447,4563.032784,4.7817102435528795,0.745984772683859,matched,0.09842285714285715
90,515,7,-0.14285714285714285,3.2294285714285715,1.5240000000000005,11.0,12.0,78.74,56.13399999999999,40.64,29.971999999999998,4514.658929001446,4497.317904,17.341025001445814,0.7060585999961445,matched,0.09506857142857143
4368,301,7,0.2857142857142857,2.394857142857142,-1.560285714285715,15.0,13.0,50.8,34.036,33.019999999999996,43.942,2870.5401245026833,2881.2865920000004,10.746467497317099,0.7277614200071545,matched,0.08218285714285713
3038,512,7,0.0,1.3062857142857152,2.648857142857143,16.0,16.0,50.8,41.65599999999999,48.26,29.717999999999996,4513.900804744837,4496.821080000001,17.079724744836312,0.7175394006804365,matched,0.07910285714285717
